Sample,Final_U238Pb206,Final_U238Pb206__2SE,Final_Pb207Pb206,Final_Pb207Pb206__2SE,238,207,,
2,12.92269873,0.395472113,0.088698022,0.001952823,3.060290434,2.201653381,0.197736057,0.000976412
2,5.828960858,0.116918414,0.075875822,0.001651336,2.005819165,2.176366537,0.058459207,0.000825668
2,5.455731007,0.096605262,0.073197878,0.001591799,1.770711604,2.174651839,0.048302631,0.0007959
2,30.20599381,1.391588424,0.099316663,0.002143621,4.606994336,2.15836994,0.695794212,0.001071811
2,6.195818516,0.16066791,0.100881577,0.002175348,2.59316682,2.156338218,0.080333955,0.001087674
2,17.96313001,0.746089877,0.096377723,0.002077931,4.153451412,2.156028318,0.373044939,0.001038966
2,8.167917107,0.713502477,0.103350667,0.002194205,8.735427498,2.123068059,0.356751239,0.001097103
2,3.943035367,0.087731781,0.103058284,0.002162454,2.224980829,2.09828256,0.043865891,0.001081227
2,4.644622007,0.194453671,0.090303463,0.001886466,4.186641468,2.08902952,0.097226836,0.000943233
2,5.051919219,0.197686268,0.086470445,0.001804301,3.91309242,2.086610055,0.098843134,0.000902151
2,3.487029936,0.102459715,0.104802909,0.002185974,2.938309016,2.085795157,0.051229858,0.001092987
2,5.321388682,0.236330895,0.089677008,0.001868505,4.441150781,2.08359427,0.118165448,0.000934253
2,4.212299655,0.072611264,0.090200252,0.001876556,1.723791514,2.080433212,0.036305632,0.000938278
2,5.260863515,0.155816964,0.086609324,0.001798778,2.961813466,2.076887241,0.077908482,0.000899389
2,4.456351351,0.087737268,0.103854475,0.002150104,1.968813971,2.070304626,0.043868634,0.001075052
2,5.465901257,0.115428491,0.07645614,0.001573973,2.111792467,2.058661345,0.057714246,0.000786987
2,10.85623942,0.693458417,0.106675975,0.002187406,6.387648523,2.050514186,0.346729209,0.001093703
2,6.47413146,0.295589741,0.085991746,0.001758383,4.565704957,2.044827651,0.147794871,0.000879192
2,7.504033373,0.240261019,0.09503471,0.001940316,3.201758402,2.041691925,0.12013051,0.000970158
2,5.279843897,0.106550643,0.089660985,0.001829059,2.018064266,2.039972012,0.053275322,0.00091453
2,4.018504904,0.091215113,0.089711634,0.001820336,2.269876862,2.029096917,0.045607557,0.000910168
2,4.80087971,0.098477701,0.088140521,0.00177856,2.051242834,2.017868717,0.049238851,0.00088928
2,47.16340461,3.096079425,0.096241884,0.001939657,6.564579997,2.015397994,1.548039713,0.000969829
2,12.54690222,0.758828072,0.088460035,0.001770854,6.047931662,2.00186898,0.379414036,0.000885427
2,65.12882113,3.195608805,0.089872041,0.001783163,4.906597033,1.984113168,1.597804403,0.000891582
2,11.65242651,0.63282614,0.07836114,0.00155281,5.430852874,1.98160721,0.31641307,0.000776405
2,6.442355876,0.300407597,0.100833637,0.001988587,4.663008421,1.972146457,0.150203799,0.000994294
2,6.337383525,0.304961226,0.087736509,0.001715534,4.812099896,1.95532512,0.152480613,0.000857767
2,33.22495731,2.510733835,0.093947276,0.001823579,7.556770688,1.941066391,1.255366918,0.00091179
2,9.403207012,0.530244728,0.085802871,0.001658524,5.638977503,1.932946976,0.265122364,0.000829262
2,13.02424237,0.69138927,0.101791308,0.001967423,5.308479759,1.932800588,0.345694635,0.000983712
2,12.57000705,0.661791106,0.073880128,0.001425565,5.264842759,1.929564876,0.330895553,0.000712783
2,6.713937684,0.48260467,0.087503482,0.001686798,7.188101718,1.927692432,0.241302335,0.000843399
2,3.698625399,0.108840983,0.101629224,0.001956585,2.942741458,1.925218872,0.054420492,0.000978293
2,3.673604366,0.194630375,0.103027984,0.001961767,5.298076647,1.904110829,0.097315188,0.000980884
2,5.513477381,0.106583561,0.075516172,0.001434617,1.933145883,1.899748043,0.053291781,0.000717309
2,6.190645123,0.210969341,0.074669258,0.001417835,3.40787328,1.898820261,0.105484671,0.000708918
2,16.28400451,0.954297378,0.089871045,0.001705232,5.860335997,1.89742091,0.477148689,0.000852616
2,8.033542393,0.534649326,0.086770949,0.001645279,6.655212605,1.896117328,0.267324663,0.00082264
2,5.637988349,0.273189585,0.102816002,0.001939346,4.845515246,1.886229733,0.136594793,0.000969673
2,16.08739489,0.47654145,0.075903599,0.001428441,2.962203969,1.881914717,0.238270725,0.000714221
2,37.03853847,1.337348684,0.091773162,0.001722966,3.610695074,1.87741815,0.668674342,0.000861483
2,3.953372383,0.136490504,0.100541062,0.001885154,3.452508157,1.875009039,0.068245252,0.000942577
2,7.306828169,0.544779583,0.102085428,0.001912816,7.455760152,1.873740491,0.272389792,0.000956408
2,52.28778949,2.144616675,0.092899893,0.001740342,4.101563091,1.873351996,1.072308338,0.000870171
2,4.72340428,0.1692125,0.104962204,0.001959328,3.582426783,1.866698607,0.08460625,0.000979664
2,8.308414186,0.430731354,0.089667143,0.001671709,5.184278785,1.864349576,0.215365677,0.000835855
